,0,1,2,3,4
0,,,"""000’O0L","NOLATIGWAL 
AYAILNOWA 
W",TP9N6TOR8
1,"""€Z0'TS","""000'OL",,,
2,,,"""TE6’6S","CYVNDNWA 
TWHA 
ALWLSA",©SS8067726
3,"""SS8‘TIT","""S0€'D9",,,
4,,,"""660'TL","AddS 
Cd 
SHUYIHSTIM 
INI",€98xXesvsl
5,"""089'0L",°660'TL,,,
6,,,"""009'6","SILYWAON 
OW 
- 
adv",60TAL8699
7,,"""OE8  ‘SL","""0€8  SL","df 
NVIWaTW  NYDYOW 
TIN",S9CHS799P
8,"""O9'bD",,,,
9,,"""€Sp'0Z2","""€Sb'02","SHUYWHSI 
d¥S 
WIGNI 
IN",6¢2S568¢09P
10,“PEL,,,,
11,,“8L8'2%Z,"""8L8'%%","SHYWHSI 
TISSSNY 
O00¢",SS9LE8crgay
12,"""0S6'99",,,,
13,,“ODP'SS,"""ObD'8S","SHYWHSI 
TIHSSNY 
-CIW",TeRplscvor
14,“OTL‘ETT,,,,
15,,,“PTS’LT,"dOH 
ONI",60TIPIDOD
16,"""0€6'LZ",“OL0'6T,,,
17,,,"""Cpe  '?L","dr’ 
NWOUOW 
dIW 
dWO 
WA",OCOT8CTEEE
18,"T2T 
""602",“207  ‘CL,,,
19,,“€L8‘bT,"""€L8’PT","OFDWIG 
Old 
- 
yaw",SOZOEHZSZ
20,"""09€'8Z",,,,
21,,"""P06 ‘LT","""$06  'LT","AVENOTWAY 
SALNWO 
ONI",TOTP8PESO
22,“OTS  ‘PE,,,,
23,,“PTS  LT,"""SOP'TT","LY 
® 
L 
ONI",cOTu90co0
24,"""8L6‘'6T",,,,
25,,,“860'LT,"MIVXWad 
ONI 
WOOD",vOTdSOODL
26,,,“8eP7'IT,"LAIOSOMOIWN 
duod",POTST6PES
27,“S8L‘0S,“BERTI,,,
28,"°""$99'TZ","""0656","""06S '6","OOSIO 
SWHLSAS 
ONI",cOTHSLCLT
29,“OvO'LS,"""60S ‘TT","""06¢€'9T","didd¥ 
ONI",OOTeesleo
30,"""$90  '6T",“TT6'L,"""“L9O8'TT","WE 
OO",TOTA6LS88
31,“SZ6'LT,"""8S8'L","""eSe'L","NOSHEWA 
OINLOSTa 
OO",POTTTOTEZ
32,“LOL‘ZL,“OLT'D,"""OPC '8","AVTTIdNdLyO 
ONI",TOTecrtéett
33,“8SL‘OPD,"""OSS‘TT","""OSS'TT","OWHEHL 
WHHSIA 
LIN@IOS",COT9ISSES88
34,,,"""Tes '6","NOSNHOC 
3% 
NOSNHOC",VOTOST8LP
35,"""€9Z'CE","""TS ‘6",,,
36,“O18  '8P,"""QL6‘ST","""OL6'ST","NWOXOWdC 
ASWHO 
8% 
OD",OOTHSZ99D
37,,,"""6L7'ET","HUIHSaNNdd 
AWMVWHLWH 
I",cCOLOL9IPE8O
38,"""9€8'0P","""6L7°ET",,,
39,"""LE9'ZE",“62T'TT,“671  ‘TT,"du¥OD 
NOWAGHD",OOTPILIIT
40,"""PSE  ‘ST",°909'T,°909'T,"AdLOONd 
¥ 
HTEANVD 
OD",60TSTLCPL
41,"""8v0‘'TT",“S06,°068'T,"OOISdHd 
ONI",80TSRPETL
42,"""6LP'TS","""g98'9",'PSb’'s,"du¥OO 
LHYDAVL",9OTHCTILS
43,“PIE'DE,°908'D,"""L00‘9","YWOH 
LOdHad 
ONI",COTILOLED
