,0,1,2,3,4,5,6
0,"MEDINA, 
ISABEL 
T/U/W",,,,94-6730192,,
1,"FORM 
990PF, 
PART 
II 
- 
CORPORATE",BONDS,,,,,
2,,,,BEGINNING,ENDING,,ENDING
3,DESCRIPTION,,BOOK,VALUE,BOOK,VALUE,FMV
4,"262028855 
DRIEHAUS 
ACTIVE 
INCO",,,"140,000.",,"140,000.","122,697."
5,"277911491 
EATON 
VANCE 
FLOATING",,,"62,953.",,"64,754.","64,598."
6,"693390882 
PIMCO 
FOREIGN 
BD 
FD",,,,,,
7,"77957P105 
T 
ROWE 
PRICE 
SHORT 
T",,,"433,065.",,"433,512.","423,639."
8,"091936732 
BLACKROCK 
GL 
L/S 
CRE",,,,,,
9,"315920702 
FID 
ADV 
EMER 
MKTS 
IN",,,"80,000:",,,
10,"922031760 
VANGUARD 
HIGH 
YIELD",,,"115,808.",,"115,808.","110,078."
11,"949917744 
WF 
ULTR 
SHORT-TRMINC",,,"300,000.",,"205,404.","204,670."
